app,impl,driver,cores,warps,threads,msgs,blocks_per_msg,blocks,bytes,cycles,instrs,opts,extensions,log
aes_gcm,hw_s2,rtlsim,2,4,16,64,4,256,5120,79185,4472,-n64 -b4 -t5 -a20 -i10,AUTH AUTH_S2 SYM SYM_S2,archive-2026-08/bd_run.log
aes_gcm,hw_s2,rtlsim,1,4,4,64,4,256,5120,44546,14096,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_s2,rtlsim,1,4,4,64,4,256,5120,44546,14096,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM_CHACHA SYM SYM_S2 SYM_SG4,archive-2026-08/ci3.log
aes_gcm,hw_s2,rtlsim,1,4,4,64,4,256,5120,44546,14096,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci5.log
aes_gcm,hw_s2,rtlsim,1,4,4,64,4,256,5120,44546,14096,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci6.log
aes_gcm,hw_s2,rtlsim,1,4,4,64,4,256,5120,42781,13568,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci_crypto.log
aes_gcm,hw_s2,rtlsim,2,4,16,64,4,256,5120,74168,4508,-n64 -b4 -t5 -a20 -i10,AUTH AUTH_S2 SYM SYM_S2,archive-2026-08/q_rtlsim.log
aes_gcm,hw_s2,rtlsim,2,4,16,128,8,1024,16384,55975,7008,-n128 -b8 -i10,AUTH AUTH_S2 SYM SYM_S2 VX_MEM_STACK_SKEW_LOG2,archive-2026-08/be_8.log
aes_gcm,hw_s2,rtlsim,2,4,16,128,8,1024,16384,71565,6664,-n128 -b8 -i10,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/rt_10_8.log
aes_gcm,hw_s2,rtlsim,2,4,16,128,8,1024,16384,54939,6680,-n128 -b8 -i10,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4 VX_MEM_STACK_SKEW_LOG2,archive-2026-08/sk_10_8.log
aes_gcm,hw_s2,rtlsim,2,1,16,128,64,8192,131072,219403,35860,-n128 -b64 -i10,AUTH AUTH_S2 SYM SYM_S2 VX_MEM_STACK_SKEW_LOG2,archive-2026-08/E_1_10.log
aes_gcm,hw_s2,rtlsim,2,2,16,128,64,8192,131072,332862,36248,-n128 -b64 -i10,AUTH AUTH_S2 SYM SYM_S2 VX_MEM_STACK_SKEW_LOG2,archive-2026-08/E_2_10.log
aes_gcm,hw_s2,rtlsim,2,4,16,128,64,8192,131072,258199,37024,-n128 -b64 -i10,AUTH AUTH_S2 SYM SYM_S2 VX_MEM_STACK_SKEW_LOG2,archive-2026-08/E_4_10.log
aes_gcm,hw_s2,rtlsim,2,4,16,128,64,8192,131072,269279,34888,-n128 -b64 -i10,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/rt_10_64.log
aes_gcm,hw_s2,rtlsim,2,4,16,128,64,8192,131072,263861,34904,-n128 -b64 -i10,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4 VX_MEM_STACK_SKEW_LOG2,archive-2026-08/sk_10_64.log
aes_gcm,hw_s2,simx,1,4,4,64,1,64,1024,12703,3968,-n64 -b1 -t0 -a0 -i10,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/r.log
aes_gcm,hw_s2,simx,2,4,16,64,4,256,5120,77815,4472,-n64 -b4 -t5 -a20 -i10,AUTH AUTH_S2 SYM SYM_S2,archive-2026-08/bc_run.log
aes_gcm,hw_s2,simx,2,4,16,64,4,256,5120,74899,4508,-n64 -b4 -t5 -a20 -i10,AUTH AUTH_S2 SYM SYM_S2,archive-2026-08/q_simx.log
aes_gcm,hw_s2,simx,1,4,4,64,4,256,4096,20265,6992,-n64 -b4 -i10,AUTH AUTH_S2 SYM SYM_S2,archive-2026-08/s2run.log
aes_gcm,hw_s2,simx,2,4,16,128,8,1024,16384,72487,6664,-n128 -b8 -i10,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/f_10_8.log
aes_gcm,hw_s2,simx,2,4,16,128,64,8192,131072,257717,34888,-n128 -b64 -i10,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/f_10_64.log
aes_gcm,hw_s2_ilv,rtlsim,1,4,4,64,4,256,4096,23971,7564,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_s2_ilv,rtlsim,1,4,4,64,4,256,4096,23971,7564,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM_CHACHA SYM SYM_S2 SYM_SG4,archive-2026-08/ci3.log
aes_gcm,hw_s2_ilv,rtlsim,1,4,4,64,4,256,4096,23971,7564,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci5.log
aes_gcm,hw_s2_ilv,rtlsim,1,4,4,64,4,256,4096,23971,7564,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci6.log
aes_gcm,hw_s2_ilv,rtlsim,1,4,4,64,4,256,4096,20619,7068,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci_crypto.log
aes_gcm,hw_s2_ilv,rtlsim,2,4,16,128,8,1024,16384,83605,6720,-n128 -b8 -i11,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/rt_11_8.log
aes_gcm,hw_s2_ilv,rtlsim,2,4,16,128,64,8192,131072,289880,34944,-n128 -b64 -i11,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/rt_11_64.log
aes_gcm,hw_s2_ilv,simx,2,4,16,64,4,256,4096,38892,2888,-n64 -b4 -i11,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ilv.log
aes_gcm,hw_s2_ilv,simx,2,4,16,128,8,1024,16384,77399,6720,-n128 -b8 -i11,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/g_8.log
aes_gcm,hw_s2_ilv,simx,2,4,16,128,64,8192,131072,221284,34944,-n128 -b64 -i11,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/g_64.log
aes_gcm,hw_s2a,rtlsim,1,4,4,64,4,256,5120,84138,26164,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_s2a,rtlsim,1,4,4,64,4,256,5120,84138,26164,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM_CHACHA SYM SYM_S2 SYM_SG4,archive-2026-08/ci3.log
aes_gcm,hw_s2a,rtlsim,1,4,4,64,4,256,5120,84138,26164,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci5.log
aes_gcm,hw_s2a,rtlsim,1,4,4,64,4,256,5120,84138,26164,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci6.log
aes_gcm,hw_s2a,rtlsim,1,4,4,64,4,256,5120,79792,25496,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci_crypto.log
aes_gcm,hw_s2a,rtlsim,2,4,16,64,4,256,5120,130436,7468,-n64 -b4 -t5 -a20 -i9,AUTH SYM SYM_S2,archive-2026-08/p_rtlsim.log
aes_gcm,hw_s2a,simx,2,4,16,64,4,256,5120,131260,7468,-n64 -b4 -t5 -a20 -i9,AUTH SYM SYM_S2,archive-2026-08/p_simx.log
aes_gcm,hw_s2a,simx,2,4,16,128,8,1024,16384,222057,13688,-n128 -b8 -i9,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/f_9_8.log
aes_gcm,hw_s2a,simx,2,4,16,128,64,8192,131072,1195488,85368,-n128 -b64 -i9,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/f_9_64.log
aes_gcm,hw_s3,rtlsim,1,4,4,64,4,256,4096,250796,90627,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_s3,rtlsim,1,4,4,64,4,256,4096,256345,90627,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_s3,rtlsim,1,4,4,64,4,256,4096,250796,90627,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM_CHACHA SYM SYM_S2 SYM_SG4,archive-2026-08/ci3.log
